track_id,song_id,artist,title,spotify_ids,tempo,valence,energy
TRAAGMJ12903CAD7D4,SODRHHD12AB0189F2A,Julien Clerc,This Melody (Live),1bMU4dfmXpWbsbgCc3zBR9,120.0,0.314,0.664
TRAAJSX128F4275A1D,SOCCQIQ12A8C13C76B,Nelson Ned,Brasas Vivas,559yqGqkaEhNxhYNTpfc6r,76.0,0.329,0.329
TRAAKLG128F93453BB,SOFHWGB12AB0180F70,Doves,Jetstream (Sasha Subdub),0FQw9tGQ4GjIC7QSVnmPxI    0qJ96iZyLbYErMQK5Obzvh,127.0,0.156,0.917
TRAAKMU128F9355D15,SOHGHHF12AB0189658,Space DJZ,Force Majeure,2h9b2GovEpAl3vwMKy8ARv,180.0,0.227,0.981
TRAAKOM12903D14D9F,SOOTPVX12AC46864A3,Sonny fodera,Changes feat Adaja Black (Original Mix),3VBy80jXpEAxmDxq0GLjyN,116.0,0.54,0.824
TRAAKQA128F424B272,SOMFWHN12A8C13A014,Marilyn Monroe,I Wanna Be Loved By You,,130.0,0.584,0.297
TRAALAH128E078234A,SOXQYSC12A6310E908,The Verve,Bitter Sweet Symphony,,85.0,0.518,0.917
TRAAMBM128F4248306,SOSUKOM12A8C13509B,Gary Smith,It's Your Store,,,0.612,0.238
TRAAMLX12903CF5B92,SOSSGWI12A8C143551,Saeed Younan,Yeah Ha,,128.0,0.239,0.855
TRAANTZ128E0792529,SOKIGWD12A6701DE9D,Nine Inch Nails,The Frail,3ZdvXuiZmG2tykdj6f0n3Z    42jN47jHnSXK4X6ptCKlzz,69.0,0.218,0.36
TRAANZE128F148BF55,SOUQCDM12A58A7BBCE,Abba,The Name Of The Game,,156.0,0.615,0.565
TRAAPHH128F145D947,SOAMXKG12A6D4F6E35,2 Fabiola,Magic Flight,,120.0,,
TRAAPPQ128F14961F5,SONRSQW12A6D4F6D1C,The B-52's,Wig,,125.0,0.801,0.939
TRAARCW12903CEB779,SOTFATQ12D021B3D6D,Nat King Cole,When I Fall In Love,,,0.115,0.215
TRAASFP128F42980BD,SOFSKON12A8C13B3B5,Orbital,Illuminate,,130.0,0.531,0.837
TRAASKZ128F9308820,SOKVULZ12A8C143AB1,Philadelphia Orchestra_ Eugene Ormandy,The Nutcracker Suite: March,0gnqamP0hFCQfEfMOiKmqA    4DPLb2vkvvsUfK0BNhihZK    2giH3DijWxFsBWQMjqcPdA    3Ed9de9gguUcNrrAfylGJs    157rEC8DvVWBpEkSa6iGVd    6JYE4Ta42bsFcrVDPAP7fb    0OGGnHWuhC3x1Cgm9zgZFs    21rXPvqTxqJQHkOJDPcMN0    2u5AmZUSwVVqEABlrQa0YK    5fLgJMVYKK20Y2pvzLpxv0    77Qo307vRbzcDnhcqlO3dC    7rPS5CiNWgKNzmJRne8Z7C    5EU9JXOEVY6bSIHOT4snFv    7xuh4MTfhnFx0sfEqUigjZ    5dVPPVAfA0QskSYMqmiGYN    0YRLSUzZrd5ImMXXsxyCp6,100.0,0.498,0.363
TRAASMT12903CC238B,SOGAIYO12AB0188029,Ace Cannon,Rockin Robin,,166.0,0.93,0.591
TRAASNR12903CB443D,SOHHJBV12A8C13D59D,Jocelyn Pook,Sleigh Ride,5taotK39leE7ZXBJq8G2jL    10LFNNeVc8ShewJvEZqwcR    1XS6WQ1hRMNSlLaqVkTMA7    68g2Qb5KxQ1Za8p6BOEnIv,120.92532467532467,0.603,0.0666
TRAATZB12903CC59D8,SOWVROE12A6D4FBB23,Harold Faltermeyer,Axel F,,120.0,0.57,0.491
TRAAVUT128F92F74F7,SOKZFZF12AB017CAB3,Steps,I Know Him So Well,0AYbdrivANzNB0R6UVKBl5    4oJX2Y8BavEIefwYsxfUxg    7CrCJYNZsk3eo0QGVumGtT    7tjEJc5qUumFOFwEYTShnD    52oiWgIaOUMmqRM7EnymVw,63.80072463768116,0.127,0.443
TRAAWSJ128F933D7EF,SOGTJNT12A58A7B12F,Gerry Rafferty,Baker Street (Edit),,120.0,0.491,0.535
TRAAXWM128F428A0F1,SOCVCDL12A58A7C054,DMX / Sisqo,What These Bitches Want,4TYTo5bv0ZxPRmmJ8ThvGi    14I6tuKz8SGD8U3SxzAqwH    2YabHsDt30UdsYXgFwqFZc    37wvEqUvwB58zEzgwqDLhD    0AFWynHeVenlMVlDnwbK07    0bjyuXXjbwjy65W7bo8v2Q    4upYonPVrb1zfBf7kH4Woe    5UHTLXXkKIzbWuppziEJaH    3ln3tSVtNocECWFRdmh6BL,83.0,0.703,0.837
TRAAYGH128F92ECD16,SOEMLQO12AB01808B6,The Shirelles,Will You Love Me Tomorrow,,137.23,0.464,0.382
TRAAYGT128F4262DDF,SOLIRIF12A8C134752,The Jacksons,Rock With You,2NaUCbP0AWBrHdFFJUUqtm    3ATZn5EEsykHxEecW9LGLs,114.0,0.796,0.852
TRAAZJU12903C980B6,SOCPGVG12AB018AA84,Lionel Rogg,Prelude And Fugue In C Major BWV 531 : Fugue,0OOayP5pD2VDzW6wTTvscE,73.58043478260869,0.0876,0.209
TRAAZVF128F145BFED,SOHDWWH12A6D4F7F6A,Huey Lewis & The News,I Want A New Drug,,112.0,0.777,0.897
TRAAZVG128F425A9BD,SOEHNSI12D0219318E,Westlife,When You're Looking Like That,,148.0,0.939,0.945
TRABAFJ128F42AF24E,SOPVXLX12A8C1402D5,Backstreet Boys,Larger Than Life,5ANqf86TdcV7mRjrqlsTz5    3wVD9fWEWR5v9rfQ5s9WF1    7uDGZ1RWJY8tbViMejdLmT,110.0,0.507,0.931
TRABAYJ128F92E34EC,SOJZPLB12A58A7AEED,Barry White,Can't Get Enough Of Your Love Babe,,114.0,0.795,0.78
TRABBNH128F93392A1,SOVTJFX12A58A79E43,Percy Sledge,When A Man Loves A Woman,,60.0,0.205,0.15
TRABCJP128F4228913,SOHTCZS12A6D4FC402,Vince Guaraldi Trio,The Christmas Song,,74.60267857142857,0.187,0.154
TRABEIK128F1456D56,SOFKCRM12A6D4F7764,The Cootees,I'm OK_ You're OK,7wVi0H6jONkqFWJ1EMJTno,172.0,0.519,0.869
TRABGCD128F42884EB,SOZXWPQ12A8C137F59,Nek,Dime porqué,6RFC7A6GPVdJxXhYC9nTdW    59KJraXQS8dgns1MaQeDkM    7Epun56zqn9xBoEVoueVAk    7MaJWoM1N8sobI9xWDLBXu,72.19402985074628,0.214,0.606
TRABGRH12903CB2ACA,SORKWRN12AB01882FA,Maria-Joao Pires,Waltz No.12 in F minor Op.70 No.2,778GEvWhXVXE3HQNdXUYIJ    2gKoHmSibfsgmrQ93m6rhM,120.0,0.182,0.0323
TRABHTY12903CCE195,SOMUMJA12A6701CE69,Chris Rea,The Blue Cafe,20RXdgSiUNeqZ0CFM3Ulw2    3BrOlyfSWe77EwgEwvyWUN    4THzr64QrwuyF81sEObRR0,135.0,0.873,0.759
TRABITZ12903CA9B5A,SORXMBE12AB0185B34,Samantha Fox,Touch Me (I Want Your Body) ?09,3bY3EEck0xHBXz7Qoqso52    78OByOWTdFef9f3VCmW2lC    6gsUFH6PKdE5J0xZjVWZ08    2Vw6i7Rr7WQBO3r0DPMvTG,132.0,0.597,0.911
TRABIYX128F4286244,SOHGRDK12A8C13AEAE,Sviatoslav Richter (piano),F.Chopin:Prelude_ Op.28. ?13 (C sharp major),3icd8AqrNRTtGvmVSMwvgY    4KyV0g6W01WVYYLmbjdX4x,120.0,0.404,0.00232
TRABJCV128F4290D34,SONXOZH12A8C13CA7B,Tomcraft,Overdose (Killa Vocal Mix),5Yd9f9rLwcKqccytZqKYvA    0zzSecq0ZG5438Jl1x2s9D,130.0,0.243,0.923
TRABKUJ128F4292445,SOBCKIM12A8C13936C,Christina Aguilera,Pero Me Acuerdo De Tí,6eifxDQxDPgVRhM4DnZLAW    6QJ2p2iiDtdQpFPv5Izx1H    4B1sb2YVO03sBmyR8bvzEB    6A4CUGE3BZvCCp96OECWMm    1G4FNjp0vcH7hALsLXp4Ac    7gS4dMOXOgpvTW51KdPK6N    0QRB679TDGxWfre4mDneRD    4gpTvv2dE5Io3VBAgTHlsb,60.0,0.155,0.482
TRABLGN128F933D417,SODLJKJ12AB0189F7B,Olivia Newton-John,When You Believe,5BBW4vNGQ91cqBu2827RKC,139.0,0.173,0.41
TRABLNQ128F930E053,SOQQXOW12A58A791F3,Gloria Gaynor,I Want To Know What Love Is,,80.56594724220624,0.465,0.62
TRABLTP128F930DC6D,SOSOMQZ12AB0180900,Creedence Clearwater Revived,Have You Ever Seen The Rain,,120.0,0.7,0.651
TRABMFI128F1476F9F,SOSHODS12A6D4F79BC,The Police,When The World Is Running Down_ You Make The Best Of What's Still Around,5lPNxe0apRPLZDTcHKoNGO    5XpoRjRLbsKPUImF8fQHjN,123.88172043010752,0.782,0.528
TRABMSM12903CB9625,SOQADOD12AB01860CC,Culture Club,Do You Really Want To Hurt Me (Live),,100.0,0.505,0.721
TRABNZK128F42AB221,SOUFOGF12A8C13E973,James & Bobby Purify,Let Love Come Between Us,3Bo6chaQOJsUlWgPi0ndWx    7zu9PR1MpSIBVqOyboTTit    1UVioxQrzPKOrvfczQqA16    0hTnzMf9DWeI99tZdZXxd8    0nnOtIRACK45JVzr4llTND    0GxvdDxStrfdaJNeJCcxwU    0gBvPvqE1ZN626zp38rsmA,68.0,0.907,0.521
TRABPDX128F421FAAE,SOUIPHX12A6D4F8AB0,Mad Professor,Schizophrenic Dub,,120.0,0.234,0.626
TRABPKX128F14938FE,SOQXUJL12A6D4FA238,Kasia Stankiewicz,Zolte Slonie,4ys0SKB5psHk4gaRln3EQK    66R955ElBAmk4Hfr3O9786,71.66197183098592,0.179,0.578
TRABQDP128F42921F8,SOGCIGF12D021917EA,Whitney Houston,Didn't We Almost Have It All,,60.0,0.336,0.49
TRABQDW128F92F27C4,SOJCXEB12AB017AAC3,Alex M.O.R.P.H,Walk the Edge,,136.0,0.325,0.739
TRABQUM12903C9A618,SOMKHZP12A58A792AA,Collective Soul,Fuzzy,5OzkksJSSxWpsMZu02HUoI    48PmbvpvsNnF22QdKcUnNX    3z7HHwrH11yWySs7kyIBlB    5ouaaeJdegsjewPJivL8A5,118.74074074074075,0.408,0.709
TRABRMZ128F4261DED,SOQSYGY12A8C137E0F,Selena,Como La Flor (2005 Re-mastering) (Live),77w5FqjQ5D4uQW1v5UxIX3,93.65934065934066,0.369,0.806
TRABRUJ128F42ADE0D,SOBLXOO12A58A7870A,Boston,A Man I'll Never Be,,105.23953823953823,0.485,0.587
TRABUCZ128F424163A,SOWQROJ12A8AE47400,Green Day,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),69M0up9cB8KRVFVuw0UwTI,104.0,0.178,0.86
TRABUSZ128F4257BAB,SOVLDWE12A8AE47F3E,Ini Kamoze,Here Comes The Hotstepper,,,0.435,0.462
TRABUXE12903D16619,SOGXFQK12AC4689F4C,Apurimac,El cuarto de Tula,5KCMiAMWS0pH5hisCTuKkC    3K3h3g3dQpE69FsvKc0qSH,101.0,0.753,0.676
TRABVAW12903CDE0A2,SOXJKNB12AC3DF9BAA,JX,Son Of A Gun (Radio Edit),,,0.626,0.85
TRABVQY128F9329431,SOEOJAK12AB0184182,Danny & The Juniors,At the Hop,,190.0,0.891,0.826
TRABVVK12903CF09C8,SONDEJX12AC468D5A6,Mickey Gilley,True Love Ways,,90.0,0.174,0.145
TRABVVN12903CB6445,SOVBTZQ12AB0184DC0,The Radio Dept.,Closing Scene,,66.6028880866426,0.632,0.47
TRABYJG128F424D12B,SOXOYUZ12A6D4FA2EE,Victor Perez_ Tony Martinez,Carnaval,0zC9VHsin7LfVBAsdfKe0t    2d2GWeqBQliqt0BHgqDYNf,128.0,0.743,0.952
TRABYWC128F9307C66,SOAGNEA12AB0181144,Doris Duke,Your Best Friend,6USQVfVzfGwNo0434LnODH,80.0,0.743,0.398
TRABZDG128F931803F,SOBXSGB12AB017FE46,Chantels,Every Night (I Pray),,79.0,0.576,0.351
TRABZYK12903D000B2,SOEDDXY12AC907580A,Taboo,Sous la Tour Eiffel,4g3X3TmK7eN4T68DbrVuTt    5DjAXAZV2WxmQhtr20KGEt    45KJ08HxhaBLjJSOTZ5gTT    0TyIvz3zq38W9x2QzHecYT,133.0,0.968,0.993
TRABZZD128F9334C0B,SOXQRKM12AB0186303,Seru Giran,Nos Veremos Otra Vez,1FBdUVBQsG8suMoKaF3GOi,99.0,0.22,0.377
TRACBNP128F4278243,SOHEPYD12A8C137123,Mariah Carey,Vision Of Love,,78.0,0.355,0.464
TRACDHB12903CDF8F6,SOOLITV12AB018B57E,Frozen Plasma,Irony,7EBHZPstlAzqLwJW9NtD6i    76FlFF7DKH2qlgfgiAg0PE,140.0,0.794,0.778
TRACDLP12903CBE918,SOJTBRF12AB018E3EA,Heidi Montag,Body Language,15VB0uLh5VP3bs3hLJM1I7,120.0,0.155,0.59
TRACDWG128F428B068,SONZEZK12A8C13A421,Naughty By Nature;Naughty By Nature featuring Zhane,Jamboree,3MPKTMJIxlORqcxw542HHK    45VVuxDWlu3aDEZs8ZW1O3,93.0,0.856,0.635
TRACETV12903CDD0F6,SOEGLPJ12AB017A412,Klaas,Our Own Way,,128.0,0.614,0.718
TRACEUX128F425CE5A,SOEYCRR12A8C134A85,Itzhak Perlman/Samuel Sanders,Chansons sans paroles (2006 Digital Remaster),7LeyIp3RwO51fu6xsjbkFA    4Po7TvSPChhZiFJz8jizwg,120.0,0.304,0.173
TRACFHZ128F4227BA4,SORPGNH12A6D4FCDE2,Jewel,Serve The Ego (Hani Num Dub),,123.0,0.614,0.94
TRACFSA12903CC089B,SOMPCYR12CF5CFC4F8,Lady GaGa,Bad Romance,,119.0,0.714,0.921
TRACHCK128F425AD97,SORQPPS12D021B5249,Enigma,Sadeness - Part I (Extended Trance Mix),,100.0,0.492,0.398
TRACHRV128F4214FB6,SOAGKPS12A6D4FA43A,Los Rodriguez,Mi Enfermedad,00ejRwWpMEP0bQiWHIFvNR    5o4G331n1vczAgW0XIM8Lt    52VQ5KXRPeDHVC1vNTXvkG    5C5jL3bzWJkgzFyM3bJpk1    5u15TiiOzNZOcXpbxqEK5a,127.0,0.867,0.928
TRACIQM128E079691F,SOMXUUZ12A67AE0C08,El Alquimista Loco,Nubosidad Variable,5MTiR2Ax0q9Tcf1DJUsTsQ,133.0,0.134,0.537
TRACIRX12903CB5FF1,SOIXILO12AB0189831,Le Vita feat. Fab,Apologize,,119.38701298701298,0.17,0.477
TRACJSK128F92EDF79,SOLSUMP12A8C144AA4,SoundLift,Follow The Way,1EpPn5vTvYUhYOOZG6qiaX    5T8qWsFGLf24AtbzjQ7Qn3    0ZYV1x7x3TsVGjQSY5zzKg    1hkJoh08pye46NYcKbaBpZ,68.0,0.151,0.928
TRACJWL128F92FB60E,SONRUWP12A8C143EC7,La Ley,Fuera de mi,5XH286garUg3tcciTKR50O    4Ub4MipVvzJda8Ot9Wbyv7,68.0,0.261,0.538
TRACJYX128F1453469,SOEMLPW12A3F1ECFFD,Hanson,Man From Milwaukee,3epuxnSvcVAQ7GtBKtAglC    4NqTo8Hq3vSXgWCFOQBb1L    2M6K7dKxpYeecjFIY7KSUb    6NgqXRHhTJ7Taz3Spg4OJw    6reNb7nMI1LncAAxVOuFzT,108.24678663239075,0.805,0.895
TRACLRS12903CE9386,SOLHVZC12A8C14307F,Tammy Wynette,Stand By Your Man,,110.0,0.525,0.246
TRACMAJ128F1458881,SOFVFAC12A6D4F5D36,Matia Bazar,Ti Sento,6XFYFtfB0pWvMSlGxtbU3z    1aFITDlLrtgT1LdCD7kZTK    1qI7FhSrcXsG0PfOoLavuq    7rUlmO0l2m0LfYATuGBVbo    4MvK8XVnsedWLcMRM230wW    5F8mWReISnlEWgcC02ZdXG    5vXK6GGBVR7ysW608kRxGU    3XG71CIKSXnZnID4rJUgYq    4GLP1jqrxWDL4Jrk7FxO3w    4weKXXdJkjtI5r1AnigjZ7    1SdTxRf3OkfTxcRiAnKzGO    3Vryj3I0Yf4CsrPiOjyLm2    1S2qIzvjFcbYL6UF9E2MjD    21XW5vYcJTC6qKCMrLD0FG    1c1AjQfQIgINmG2QzNXEdT    2TjvRb0EGAbegoCAV19c0N    72BnKkKnrOeCDY9vy2avFk    1ylJ9tTvepp1BZIYhBa83f    1NUjcHAjf3KkLuhoZzcKzH    1OlWfpUWMkMhcpudgIIYCk    3H5uL4AQEYlkORO05UbMot    4PgmhtftN6ZkR6N1IHrb2B    7dYZYer6JogsJkeVIRGMlI,122.0,0.485,0.787
TRACMKU128F4263E6F,SONLWFX12A6D4F6EE0,ABC,Blame,17zCgdXZZxJ9uL7eqwrx1H    5C4rubn8MxCcjmOusduuAP    2ZDakmK7172PcycFRPAlAB    2vNL5oomXbJJYqmdyx1j8p    4pdp87IsyxPLEO3YqAPf2A,69.0,0.244,0.615
TRACMMC128F92FA031,SOKEKJY12AF72A1005,Infected Mushroom,Song Pong,,,0.357,0.885
TRACMSA128F149ED25,SOFQUHM12A6D4F9757,America,Only In Your Heart (Album Version) (2006 Remastered),,80.0,0.441,0.579
TRACNAS128F14567C6,SOLFDCM12A6D4F7A7C,Tom Petty And The Heartbreakers,Mary Jane's Last Dance,4d1ksAfMlzzHNdqR09xxtZ    5eYwDBLucWfWI5KsV7oYX2    5xS9hkTGfxqXyxX6wWWTt4    4043cAAtytauw3j6xUkK70    4lMrkXwDKXuMelGg3ulwHJ    3NY49lm332H4mnucDEwwQb    4DJ9jyiBWos67NogH9c350    0tDFhqcce3avKExvINYTns,90.0,0.507,0.809
TRACNDV12903C9ABA7,SOZMWSE12AB0183AC0,Collective Soul,Compliment (LP Version),26wBBW2QisdUEPSgB6QCSH    2VV3KQwhiQyKnmMrbEh90q,110.11267605633803,0.177,0.712
TRACNMH12903CA9CCC,SOEPEIB12CF5F892C8,Lady GaGa,LoveGame,,104.72074468085107,0.844,0.678
TRACOLT128F427FF6E,SOXIPYS12A8C13C215,Tom Petty & The Heartbreakers with Jeff Lynne & Dhani Harrison,Handle With Care (LP Version),,120.0,0.561,0.868
TRACOVU128EF34B7F4,SONPZIV12A6BD53CCE,World Of Twist,She's A Rainbow,5qMlceP4iVIBn3QwNg23SM    2dA3lzEKkziiDhP1cfaNo5,106.33484162895928,0.314,0.878
TRACPDO128F9333AA7,SOJONAZ12AB01818D5,Gregory Miller,Maurice Ravel: Pavane pour une Infante défunte: Pavane pour une Infante défunte,7hgcndb1rmrRFt2VUCiCEP,99.94831460674158,0.23,0.0048
TRACQIB128F147DAC4,SOJAZHN12A6D4F8CF3,Siw Malmkvist,Ingenting går upp mot gamla skåne,7ewFT9loZj6RzYFcRhxKw2    2lsxaoU4d8OYEP4bMgWPeB    5YVEluD4e1l4inkSm9RfnD    5C0WqSabQylO06K9PDyzVN    03iFch8aNToDAJWYgbRgIf    7oVdtK80FiOz06kOAvrP1d,97.0,0.888,0.661
TRACQOD128F42A8237,SOTTNRD12A8C13F7B6,Assemblage 23,Sorry,,137.0,0.277,0.917
TRACRLM128F4250135,SOYEZUY12A81C21610,Peter Gabriel,Steam (2002 Digital Remaster),1U5hmldscGJfNX2wql276r    5kQqOhTwYtPXqOYKuTNkqm    2rSY9AY1NhLjB2xP3MrOoo    4RXEgKr2JUobRuQqFcR6bt    4THvBGFwji3DHQOEr8CRfL    2vlzl8LPm2xiAfiDv30fPq    7dys00gkrBOADOe5qrU6YM    01u9jKfINMgxHq6twd3jbp    4As1YwFQd6Vbk13hl9zD8T,112.0,0.729,0.726
TRACROF128F4276061,SODTRAO12A8C137B3D,Wayne Marshall,3 Preludes: No. 2 in C sharp minor,5vBg8CMJB0Lxi40DiO6zUV    0oZk70ceoaMUgUuV8Ub9ZZ    2YqozS5hI7qr4SgPpiuGJC    7CJGE9GsNawRWLkufEJWq7,69.0,0.19,0.00786
TRACRON12903CB59E6,SOHKEPR12AB018C9C9,Everyday Sunday,Don't Leave,1EGDnBDjENMyOnr7sGccVK,104.0,0.235,0.696
TRACRRO128F92F34B9,SOAXQTX12AB017F467,Hacken Lee,He Jiu Bi Hun,2cjdDQyLdH3kqcF78N3VAX,106.13905325443787,0.409,0.423
TRACSYG128F9320552,SOKLGTC12A8C140CAA,Barry Blue,Dancin' On A Saturday Night,,128.33333333333334,0.847,0.79
TRACTES128F427AD28,SOEEOLC12CF58289A6,Willie Nelson,Living In The Promiseland,,71.66197183098592,0.433,0.362
TRACWDQ128F92EB12F,SOSAXUZ12AB017E09D,Gino Paoli,E M'Innamorerai,52GbvEWO5WAh1zH2BKlVgS    2dX06F5jBQu6BV8NdVys3G    3Oap1lHVnSGJ2mOXzTcRjB    7Eh0GLbVnjLRhxmP1s4CQo    5qdlaOZIpkxevxrBDPdG34    5UWMdFH62OjBY0vCGfN6XB    7lNPwuETeqpdmK3fMY0v01,60.0,0.154,0.306
TRACWGP12903CA4553,SONVBJA12AB0183B02,Luiz Melodia,Juventude Transviada,1yrLdJwW5IFMrutLyVBuOu    7ebHxYVjIvdAjgGPaU9UIU    0HuRTyI3kEP5K1ecfVKRyP    2NiMFdtsTcjqzjA7OzB4Np,110.0,0.26,0.343
TRACXXJ128F426A02A,SOUDHYD12D021B2005,Johnny Cash,Highwayman,,200.0,0.459,0.408
TRACYKX128F427FF3A,SOATGDV12A8C13E623,Celeda,Amazing (Tracy Young Dub Mix),2XNA7EvRIYHorhalUxpaBv,230.0,0.347,0.911
TRACYOR128F427FB1D,SOVQWTQ12A8C13D988,Los Abuelos De La Nada,Lunes Por La Madrugada,,141.0,0.557,0.655
TRACZDY128F92EE2F1,SOXUAQZ12AB0184442,Laid Back,Maybe I'm Crazy (Single original version_ 2008 Digital Remaster),1C16XTYZtu7HZ68SBgSqqV,120.0,0.905,0.923
TRACZJA128F429E665,SOKBCLG12A8C13DAA5,Novaspace,Guardian Angel,,88.0,0.383,0.551
TRACZKB128F9318F9D,SOZDIFI12AB017EE3A,Fabio XB,Inside Of You,2X7fGUp9ShggXmvIaEfzku    77oJHcz8wpuaLNk8wjDlLB,180.0,0.57,0.531
TRADABC128F4274FCC,SOEEEIL12A8C138EEE,Carlos Ponce,Escuchame,0jNjI4KJleZP7EuzpzOvTo    3uuMq3tpVQiBlzyANH40DX    46lVsmHiOlXiVghNBAqkGz,96.09968847352025,0.68,0.886
TRADAZK128F42680BA,SONZQEW12A58A777C8,Mahogany Rush,"(Excerpt From ""Who Do Ya Love"")",2jkAF3E3SOWBFV2M0jYbPw    4JgRtSuOaKsJ2j3MzMxsX2,108.11578947368422,0.195,0.964
TRADCQI128F42664A8,SOZFLXY12A8C13A8E2,Ben Watt feat. Estelle,Pop A Cap In Yo' Ass,,128.90322580645162,0.586,0.652
TRADCTM128F42BADA7,SOHBJBZ12A8C1406C7,Preluders,Last Christmas,7ylnLSoEOoQ9pANGUrOWhp,107.0,0.813,0.792
TRADCVS128F932D857,SOPUDIR12AB0182784,Kidz Bop Kids,Sugar Sugar,5TpfHgoCfCKqnl1YfXDwpR    7xAcEfbeXGameZcaKLFSN5,125.0,0.972,0.723
TRADDZH128F426FD4C,SOMPBRY12A8C13AC63,Phil Chang,O Chan Tsai Wu Ding Chui Feng,4HYFQ7H1mUboZnsFewzaQ8    62yYgX6QxqKpllAjcckzDN    1PqXUx3CrZsuTSJFxYLmZ7    3Oj3wchKlEX2PO1lZB13rM    59ru3iiqylIUwt5uDyLjJG,59.84493670886076,0.163,0.341
TRADEUA128F4271E30,SOJJKWK12A8C133FF6,The Planets,Stai Con Me,5iMNkSLlQFGBuqU1XqQU4d    5hc3x0tSWXSpaQ0sJ9Ec5R,120.0,0.247,0.462
TRADFCO12903CA9439,SOOWKSP12AB018043B,Céline Dion,The Reason I Go On,0qYtimLyBQwImeUcUpizOT    0Rw2BPwY4VbFQRblKQ2FHs,80.0,0.195,0.348
TRADFPY128F92D2B4E,SOSYDHT12A8C145A48,Rachael Yamagata,Over And Over (Album Version),0SQ1fQMTK2AAoW2rz4Im6f    3nNXHfFyglIR9hqV9mRCCq,64.0,0.272,0.403
